Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Genre,Release Date,Popularity,Duration (ms),Chord
818,82,8,2020-09-18--2020-09-25,Wolves (feat. Post Malone),"5,547,002",Big Sean,8673345,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2020-09-04,79,199758,D
819,88,27,2019-12-27--2020-01-03,"thank u, next","5,079,328",Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']",2019-02-08,82,207320,C#/Db
820,19,28,2020-07-17--2020-07-24,MAMACITA,"5,016,343","Black Eyed Peas, Ozuna, J. Rey Soul",5966748,"['dance pop', 'pop', 'pop rap']",2020-04-10,74,249143,D
821,137,2,2020-10-16--2020-10-23,Fake,"5,010,179","Lauv, Conan Gray",4442273,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2020-10-13,73,146375,E
822,56,7,2020-09-11--2020-09-18,OK Not To Be OK,"4,980,744","Marshmello, Demi Lovato",1251372,[],2021-08-13,0,159863,C#/Db
823,1,27,2020-04-24--2020-05-01,THE SCOTTS,"4,941,592","THE SCOTTS, Travis Scott, Kid Cudi",179193,['pop rap'],2020-04-24,79,165978,C
824,37,14,2020-07-31--2020-08-07,Mamichula - con Nicki Nicole,"4,817,969","Trueno, Bizarrap, Taiu, TATOOL",2172969,"['argentine hip hop', 'trap argentino', 'trap latino']",2020-07-23,75,219202,E
825,172,14,2020-08-14--2020-08-21,Let Her Go,"4,765,198",Passenger,2819406,"['folk-pop', 'neo mellow', 'pop', 'pop rock']",2013-02-17,75,252733,G
826,26,27,2020-05-22--2020-05-29,Play Date,"4,745,568",Melanie Martinez,10925614,"['alt z', 'electropop', 'modern rock', 'pop']",2015-08-14,80,179867,F
827,32,23,2020-05-29--2020-06-05,Lose Somebody,"4,709,053","Kygo, OneRepublic",7593792,"['edm', 'pop', 'pop dance', 'tropical house']",2020-05-29,75,199549,C#/Db
828,197,1,2020-10-23--2020-10-30,Someone Like You,"4,703,672",Adele,28335338,"['british soul', 'pop', 'pop soul', 'uk pop']",2011-01-24,77,285240,A
829,73,34,2020-01-03--2020-01-10,It's You,"4,674,658",Ali Gatie,1758300,"['canadian hip hop', 'pop']",2019-11-08,81,212607,B
830,68,18,2020-07-17--2020-07-24,Stunnin' (feat. Harm Franklin),"5,183,246",Curtis Waters,68875,[],2020-10-09,68,144000,B
831,35,3,2020-10-02--2020-10-09,Love To Hate Me,"5,125,708",BLACKPINK,23848461,"['k-pop', 'k-pop girl group']",2020-10-02,69,171798,G#/Ab
832,165,1,2020-10-16--2020-10-23,Hate The Way (feat. blackbear),"5,116,071",G-Eazy,4894656,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",2020-10-16,68,214363,E
